"André Hazes - She Believes in Me","John Appel","Netherlands","1999","88 min","https://www.idfa.nl/en/film/8d243ee4-c20a-436d-ae6d-1e2cab8f6213/andré-hazes-she-believes-in-me?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Aftermath: the Remnants of War","Daniel Sekulich","Canada","2001","56 min","https://www.idfa.nl/en/film/a5e99788-3bf0-40d5-a5f1-51b48f7f0161/aftermath-the-remnants-of-war?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Agnes & Nancy","Anne Milne","Scotland","2011","24 min","https://www.idfa.nl/en/film/d3c44439-56db-4fd4-a717-45414dc0fa8e/agnes-nancy?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Ahmad's Hair","Susan Koenen","Netherlands","2016","16 min","https://www.idfa.nl/en/film/4108da06-ad71-47a5-8baa-cd7c517cf391/ahmads-hair?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"All Cats Are Grey in the Dark","Lasse Linder","Switzerland","2019","18 min","https://www.idfa.nl/en/film/c330a007-84ce-41d4-8302-2d1684f43abc/all-cats-are-grey-in-the-dark?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"All of Me","Susan Koenen","Netherlands","2012","15 min","https://www.idfa.nl/en/film/63be9d35-7f21-4b9c-b785-d0accc5bcf9d/all-of-me?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Am I Dreaming of Others, or Are Others Dreaming of Me?","Shigeo Arikawa","Japan, Netherlands","2014","11 min","https://www.idfa.nl/en/film/511c6332-4696-4ec3-a44c-d44bc73e7994/am-i-dreaming-of-others-or-are-others-dreaming-of-me?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Among Horses and Men","Marjoleine Boonstra","Netherlands","2010","78 min","https://www.idfa.nl/en/film/339e130f-1279-4a00-a1a0-d68cb5ae6f5a/among-horses-and-men?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Anna's Story","Nienke Eijsink","Netherlands","2009","15 min","https://www.idfa.nl/en/film/bba18ccd-4a8a-4544-9476-6578075a64c7/annas-story?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Are You Listening!","Kamar Ahmad Simon","Bangladesh","2012","90 min","https://www.idfa.nl/en/film/24307428-d933-4d5a-8c78-3747bb8b0767/are-you-listening?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Artificial Things","Sophie Fiennes","United Kingdom","2018","26 min","https://www.idfa.nl/en/film/9bf09187-a3bc-4ca4-8cc2-2436e3b92d2f/artificial-things?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"As We're Told","Erik Holmström, Fredrik Wenzel","Sweden","2017","28 min","https://www.idfa.nl/en/film/27d63a1f-77dd-4cc5-88e2-f9acde4f328d/as-were-told?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Asho","Jafar Najafi","Iran","2019","30 min","https://www.idfa.nl/en/film/a48ab375-5260-474c-b94c-78e85acd6da5/asho?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Askoo","Mohammad Ali Hashemzehi","Iran","2011","25 min","https://www.idfa.nl/en/film/c9ab9e63-34f1-4bdc-b652-f6c75721b834/askoo?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Battle of the Jazz Guitarist","Mark Columbus","United States","2012","7 min","https://www.idfa.nl/en/film/15ef39c2-437e-45d4-9d3b-7ededa6c0107/the-battle-of-the-jazz-guitarist?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Bela Bela - What Keeps Mankind Alive","Marjoleine Boonstra","Netherlands","2001","73 min","https://www.idfa.nl/en/film/08c0c38d-3e15-41d4-878c-c7dfd0b8749d/bela-bela-what-keeps-mankind-alive?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Het beloofde land","John Appel","Netherlands","2000","50 min","https://www.idfa.nl/en/film/344e3807-f446-42b0-86d9-57a3b3508221/het-beloofde-land?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Bilal","Sourav Sarangi","India, Finland","2008","92 min","https://www.idfa.nl/en/film/283a2551-0cfa-40f0-b204-7d48ca84c500/bilal?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Birds Are Silent in the Forest","Tim De Keersmaecker","Belgium","2007","18 min","https://www.idfa.nl/en/film/0f5b5853-857e-4977-90bb-c05bd3e6d00c/the-birds-are-silent-in-the-forest?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Black against White","Wagner Morales","Brazil","2004","78 min","https://www.idfa.nl/en/film/ec88c4fe-c2a9-4948-878d-ed6173176c65/black-against-white?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Blood Brothers","Marco Espírito Santo, Miguel Coimbra","Portugal","2015","6 min","https://www.idfa.nl/en/film/4f628a16-2b33-4869-b77d-fc022ce0bb86/blood-brothers?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"La bonita","Maria del Mar Rosario","Cuba, Puerto Rico","2018","18 min","https://www.idfa.nl/en/film/6f29fad7-6d0c-4447-9a1d-62e3d67b08a1/la-bonita?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Book of Distance","Randall Okita","Canada","2020","25 min","https://www.idfa.nl/en/film/49957ac0-70d9-489d-a084-26b6db904a08/the-book-of-distance?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Box","Eva Stefani","Greece","2004","11 min","https://www.idfa.nl/en/film/ab9c9e26-4cd1-42b0-b53f-07ce9910d187/the-box?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Brainstream","Caroline Robert","Canada","2021","20 min","https://www.idfa.nl/en/film/259d2f4e-cc3a-4f06-9eaf-f13b8d4d7d81/brainstream?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Brilliant Noise","Semiconductor","England","2006","6 min","https://www.idfa.nl/en/film/51daa406-af9c-4680-b440-27e8b4191c98/brilliant-noise?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Buddy","Heddy Honigmann","Netherlands","2018","86 min","https://www.idfa.nl/en/film/dc88a59e-a060-4e53-818f-fd59b761ca51/buddy?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Butterfly Man","Samantha Rebillet","Australia","2004","6 min","https://www.idfa.nl/en/film/c708d476-7f74-4cf2-976c-8b5ba27d6790/butterfly-man?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Calling Ukraine","Jean Counet","Netherlands","2015","12 min","https://www.idfa.nl/en/film/e0976e06-3fc5-4fe3-949a-9dba664d69b2/calling-ukraine?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Camerawar.tv","Lech Kowalski","France, United States","2009","45 min","https://www.idfa.nl/en/film/b1918272-2ce5-4874-8c76-0f9e69c9b120/camerawar-tv?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Camera/Woman","Karima Zoubir","Morocco","2012","59 min","https://www.idfa.nl/en/film/17a9ce81-c37c-41f4-913c-9d32410ac56d/camera-woman?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Capturing Reality: The Art of Documentary","Pepita Ferrari, Steve Mackey","Canada","2009","230 min","https://www.idfa.nl/en/film/9fab6d3e-9060-4fdf-943f-7a59dbbe8da5/capturing-reality-the-art-of-documentary?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Carne","Camila Kater","Brazil, Spain","2019","12 min","https://www.idfa.nl/en/film/f7832ef1-fd5a-4654-a172-89aff5e5a180/carne?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"La casa (ostinato crescendo)","Giovanni Giaretta","Netherlands","2018","6 min","https://www.idfa.nl/en/film/242173fa-34e2-4e77-b258-e12d086d2e38/la-casa-ostinato-crescendo?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Caviar Connection","Dragan Nikolic","Serbia, United States","2008","58 min","https://www.idfa.nl/en/film/d2ad6b99-4e2e-4830-85d1-80a0cdf56673/the-caviar-connection?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Cecilia","Pankaj Johar","India, Norway","2015","85 min","https://www.idfa.nl/en/film/82880a53-1d32-4fbf-9650-95530a6b9538/cecilia?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Chanaika","Victor Vroegindeweij","Netherlands","2007","20 min","https://www.idfa.nl/en/film/5acd33dd-3ed5-4f64-850e-ac7d3b600bb2/chanaika?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Change of Choice","Chen Ling","China","2005","53 min","https://www.idfa.nl/en/film/70dc1d8e-4dec-412a-962e-4544b2b80434/change-of-choice?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Checks and Balances","Malek Bensmaïl","Algeria, France","2015","97 min","https://www.idfa.nl/en/film/cf945664-9db4-4e82-9685-06cd0b0c640f/checks-and-balances?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Children of the Decree","Florin Iepan","Germany, Romania","2004","52 min","https://www.idfa.nl/en/film/86cfee49-f6f4-4ee1-865e-a912c054a91f/children-of-the-decree?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Chinese Mayor","Hao Zhou","China","2015","87 min","https://www.idfa.nl/en/film/938467d3-43c5-4839-8734-678b3922363d/the-chinese-mayor?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Chirola","Diego Mondaca","Bolivia","2008","26 min","https://www.idfa.nl/en/film/9dd5eadb-b567-441c-9067-76f0f7483f4c/the-chirola?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Cinema Komunisto","Mila Turajlić","Serbia","2010","100 min","https://www.idfa.nl/en/film/f4b46c3d-9054-4a9a-a9c3-d3bc195c2c8f/cinema-komunisto?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Circle","Lanre Malaolu","United Kingdom","2019","15 min","https://www.idfa.nl/en/film/947d78f6-f8f4-40a9-b425-6e6d481488ba/the-circle?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"City of Photos","Nishtha Jain","India","2004","59 min","https://www.idfa.nl/en/film/1adc5276-eb66-43a0-b9be-cf5cbc436129/city-of-photos?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"La ciudad de los fotógrafos","Sebastián Moreno","Chile","2006","80 min","https://www.idfa.nl/en/film/abfffdc7-4da1-4eb5-9998-d4fa9a73c459/la-ciudad-de-los-fotógrafos?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Climats","Rebecca Digne","Netherlands","2014","6 min","https://www.idfa.nl/en/film/7fc1ac08-3072-449e-8342-84fcfb9e4277/climats?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Coco Cabasa","Klaartje Til","Netherlands","2016","53 min","https://www.idfa.nl/en/film/0515b805-5153-4a33-84a4-6489ea36b9eb/coco-cabasa?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Connected","Aleksandra Maciejczyk","Poland","2018","18 min","https://www.idfa.nl/en/film/29f1ff18-6cb4-403d-ac78-2c78b6a4b1d5/connected?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Contamination","Carl Stevenson","England","2003","6 min","https://www.idfa.nl/en/film/b655c597-994f-41a0-b02e-98ba91f4385d/contamination?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Corpus Misty","Aubrey Heichemer","Germany","2020","18 min","https://www.idfa.nl/en/film/daad5267-384f-4d37-bfc4-51648409eed7/corpus-misty?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Couscous Global","Maartje Nevejan","Netherlands","2009","30 min","https://www.idfa.nl/en/film/6924c546-131e-49a8-a1e2-19018558d14c/couscous-global?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Crisis of Credit Visualized","Jonathan Jarvis","United States","2009","11 min","https://www.idfa.nl/en/film/d25c79ec-1244-477f-81e5-7048f41af6c5/the-crisis-of-credit-visualized?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Crocodile Gennadiy","Steve Hoover","United States","2015","96 min","https://www.idfa.nl/en/film/ef9dbf67-0e97-403e-8dbb-84a94cb250a1/crocodile-gennadiy?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Cross Aid Post","Maria Mok, Meral Uslu","Netherlands","2007","85 min","https://www.idfa.nl/en/film/9ba5700b-d62b-48f5-ada4-414b077393e4/cross-aid-post?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Crossing","Otávio Almeida","Cuba","2019","14 min","https://www.idfa.nl/en/film/a9bc23a5-9655-42d4-b0f9-4aab5b8e261e/the-crossing?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"A Cry from the Grave","Leslie Woodhead","England","1999","104 min","https://www.idfa.nl/en/film/59b9f5fa-6e48-48f3-a0f2-47ca9a64d0ff/a-cry-from-the-grave?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Cucli","Xavier Marrades","Spain","2016","17 min","https://www.idfa.nl/en/film/20e51181-9615-40ca-8b87-4287171581be/cucli?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Cultures of Resistance","Iara Lee","United States","2010","73 min","https://www.idfa.nl/en/film/e19f8d90-ef6c-4469-ab75-2fad678fd5b1/cultures-of-resistance?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dance Tonite","Jonathan Puckey, Roel Wouters for Moniker, Jeff Nusz","Netherlands, United States","2017","3 min","https://www.idfa.nl/en/film/890b77e0-5482-4fcd-8d70-479bf627a766/dance-tonite?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Danny's Parade","Anneke de Lind van Wijngaarden","Netherlands","2007","15 min","https://www.idfa.nl/en/film/866c424b-4b04-4886-91ec-2e53c606ea50/dannys-parade?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dead Man Walking","Petar Oreskovic","Croatia, Bosnia-Herzegovina, Serbia","2006","85 min","https://www.idfa.nl/en/film/36831d7c-37d4-4be8-9812-0977193a4088/dead-man-walking?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dear Araucaria","Matt Houghton","England","2015","10 min","https://www.idfa.nl/en/film/fac89b7a-a965-414f-b039-e16344ed2473/dear-araucaria?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dear Mara, Letters from a Trip through Patagonia","Carlos Alejandro Echeverría","Argentina","2007","88 min","https://www.idfa.nl/en/film/b509e427-4380-4211-b265-a73f40e636cb/dear-mara-letters-from-a-trip-through-patagonia?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Death of an Insect","Pekka Veikkolainen, Hannes Vartiainen","Finland","2010","7 min","https://www.idfa.nl/en/film/ee405d45-8827-4b58-9d7a-666edd2709f7/the-death-of-an-insect?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Deep Down Tidal","Tabita Rezaire","South Africa","2017","21 min","https://www.idfa.nl/en/film/b34ff427-21b2-4b49-b44b-cbbf6aa246f6/deep-down-tidal?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Delhi - Mumbai - Delhi","Saba Dewan","India","2006","63 min","https://www.idfa.nl/en/film/4f50f742-931e-4cca-9f26-89e13d70ac12/delhi-mumbai-delhi?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Demons in Paradise","Jude Ratnam","France, Sri Lanka","2017","94 min","https://www.idfa.nl/en/film/0565e70e-f3d2-45f4-b68f-e896b617535a/demons-in-paradise?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Deserter","Richard Rowley","United States","2007","22 min","https://www.idfa.nl/en/film/80ca4076-764a-4ba8-b47c-a8ec85ab3f45/deserter?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Devil's Lair","Riaan Hendricks","South Africa","2013","82 min","https://www.idfa.nl/en/film/8b909ccc-8822-46e6-a9f1-a05fbdf1a1d3/the-devils-lair?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Devil","Jean-Gabriel Périot","France","2012","7 min","https://www.idfa.nl/en/film/9b925674-0aaa-4b71-b798-fff1e575ca8d/the-devil?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Diário de Naná","Paschoal Samora","Brazil","2006","60 min","https://www.idfa.nl/en/film/dfd8b6de-7f13-467b-84ef-bdad1f1905a6/diário-de-naná?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Diary of Hunger","Mireia Pujol","Spain","2014","15 min","https://www.idfa.nl/en/film/70cffafc-ac62-444f-9498-22274f2c519d/diary-of-hunger?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"A Different Kind of Gun","Peter Jordan","United States","2007","15 min","https://www.idfa.nl/en/film/44abd4be-36e5-43f6-96a9-79fe90bd333a/a-different-kind-of-gun?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dinner with the President: A Nation's Journey","Sabiha Sumar, Sachithanandam Sathananthan","Pakistan","2007","58 min","https://www.idfa.nl/en/film/91e62cb7-2a66-4ed0-b595-a6cd03b85e63/dinner-with-the-president-a-nations-journey?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divine Pig","Hans Dortmans","Netherlands","2010","55 min","https://www.idfa.nl/en/film/5ba7066f-b084-4907-8b28-7180cdd6a155/divine-pig?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divorce Albanian Style","Adela Peeva","Bulgaria","2007","66 min","https://www.idfa.nl/en/film/18ab5490-b567-453e-9465-a54d7a17affd/divorce-albanian-style?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divorce Iranian Style","Kim Longinotto, Ziba Mir-Hosseini","England","1998","80 min","https://www.idfa.nl/en/film/c47e11c0-a08b-4873-89a5-8ece0d80bef6/divorce-iranian-style?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dolls - A Woman from Damascus","Diana El Jeiroudi","Syria, Denmark","2008","57 min","https://www.idfa.nl/en/film/8b853519-a541-4dd4-93bc-88357c83cca6/dolls-a-woman-from-damascus?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Doubled Up","Samantha Moore","England","2004","7 min","https://www.idfa.nl/en/film/63536b92-70e1-4724-b9b1-a85c837ca5e9/doubled-up?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Drawing Room","Jan Rothuizen, Sara Kolster","Netherlands","2015","7 min","https://www.idfa.nl/en/film/e37468b6-923a-4f97-92aa-d6530c4f736d/drawing-room?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Driftless: Stories from Iowa","Danny Wilcox Frazier, Brian Storm","United States","2009","31 min","https://www.idfa.nl/en/film/e967c8c0-0dd2-4964-b997-8f59405b2245/driftless-stories-from-iowa?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dulce","Angello Faccini, Guille Isa","Colombia","2018","10 min","https://www.idfa.nl/en/film/8844dd0e-ebbc-4997-b7eb-c4b894cb7e81/dulce?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Earn a Living","Yuval Orr","France, Germany, Netherlands, United States","2018","90 min","https://www.idfa.nl/en/film/66a24480-d161-4266-a830-f389ed1cb14d/earn-a-living?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Education, Education","Weijun Chen","China, South Africa","2012","58 min","https://www.idfa.nl/en/film/fb5b5f63-b1b0-4118-a212-160ac1184e60/education-education?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Empire Interactive","Kel O'Neill, Eline Jongsma","United States, Netherlands","2014","80 min","https://www.idfa.nl/en/film/5d5f0be4-5545-4990-8ad8-4fd306a6d6f5/empire-interactive?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Eritrea Stars","John Appel","Netherlands","2015","55 min","https://www.idfa.nl/en/film/77a17a19-0a09-4dc1-9523-9163199ca655/eritrea-stars?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Estamira","Marcos Prado","Brazil","2004","115 min","https://www.idfa.nl/en/film/cd20a605-18f9-46c7-8532-bdeb2624444b/estamira?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Euromaidan. Rough Cut","Roman Bondarchuk","Ukraine","2014","60 min","https://www.idfa.nl/en/film/86f110b2-3f4d-4cd8-9914-6568fb0ed173/euromaidan-rough-cut?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Even a Bird Needs a Nest","Vincent Trintignant-Corneau, Christine Chansou","France","2012","57 min","https://www.idfa.nl/en/film/8d63de70-082e-4a12-8d20-bef671290e7d/even-a-bird-needs-a-nest?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Exhausting a Crowd","Kyle McDonald","United States","2015","720 min","https://www.idfa.nl/en/film/35167690-7923-4c6a-b077-57fb82f8524a/exhausting-a-crowd?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Facility","Seth Freed Wessler","United States","2021","27 min","https://www.idfa.nl/en/film/c1c5bebd-5595-4db2-b17a-e46c1dfcaafb/the-facility?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Far Away from Far Away","Bruce Alcock, Jeremy Mendes","Canada","2019","30 min","https://www.idfa.nl/en/film/3a9f6d7b-eeb1-4e6a-b54d-9c4ca17eb946/far-away-from-far-away?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Farewell","Alejandro Alonso Estrella","Cuba","2014","25 min","https://www.idfa.nl/en/film/3b8093fe-5cc1-4bb3-aec2-35ea4ba5a660/the-farewell?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The First Kid to Learn English from Mexico","Peter Jordan","United States","2008","20 min","https://www.idfa.nl/en/film/dd08960d-1515-46e9-8d3b-2ec50d08f7d8/the-first-kid-to-learn-english-from-mexico?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Flesh","Edouard Salier","France","2005","10 min","https://www.idfa.nl/en/film/cbd6a342-b138-47d9-8c0d-195736c7a4d5/flesh?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"La flor de la vida","Adriana Loeff, Claudia Abend","Uruguay","2017","84 min","https://www.idfa.nl/en/film/434146f3-58ab-4d92-8e20-41a66e437a17/la-flor-de-la-vida?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Flower Punk","Alison Klayman","Japan, United States","2019","28 min","https://www.idfa.nl/en/film/2ffa1881-02bf-4bcb-85bf-543bdfdc8689/flower-punk?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
